time,location,water_level
2020/02/02/11,九江,3.76
2020/02/02/11,安庆,3.71
2020/02/02/11,芜湖,2.59
2020/02/02/11,南京,2.08
2020/02/02/11,镇江,1.5
2020/02/02/11,湘江长沙,30.93
2020/02/03/11,宜宾,0.59
2020/02/03/11,泸州(二郎滩),0.5
2020/02/03/11,北碚,-0.38
2020/02/03/11,重庆,8.62
2020/02/03/11,寸滩,168.76
2020/02/03/11,涪陵(清溪场),168.61
2020/02/03/11,万州,168.82
2020/02/03/11,茅坪,168.59
2020/02/03/11,宜昌,0.28
2020/02/03/11,枝江,-0.36
2020/02/03/11,沙市,-2.1
2020/02/03/11,监利,2.65
2020/02/03/11,城陵矶,4.48
2020/02/03/11,汉口,3.85
2020/02/03/11,黄石,3.77
2020/02/03/11,九江,3.61
2020/02/03/11,安庆,3.59
2020/02/03/11,芜湖,2.49
2020/02/03/11,南京,2.01
2020/02/03/11,镇江,1.42
2020/02/03/11,湘江长沙,31.16
2020/02/04/11,宜宾,0.68
2020/02/04/11,泸州(二郎滩),0.7
2020/02/04/11,北碚,-0.31
2020/02/04/11,重庆,8.37
2020/02/04/11,寸滩,168.53
2020/02/04/11,涪陵(清溪场),168.46
2020/02/04/11,万州,168.66
2020/02/04/11,茅坪,168.45
2020/02/04/11,宜昌,0.21
2020/02/04/11,枝江,-0.49
2020/02/04/11,沙市,-2.15
2020/02/04/11,监利,2.62
2020/02/04/11,城陵矶,4.45
2020/02/04/11,汉口,3.69
2020/02/04/11,黄石,3.6
2020/02/04/11,九江,3.44
2020/02/04/11,安庆,3.44
2020/02/04/11,芜湖,2.35
2020/02/04/11,南京,1.96
2020/02/04/11,镇江,1.45
2020/02/04/11,湘江长沙,31.24
2020/02/05/11,宜宾,0.91
2020/02/05/11,泸州(二郎滩),0.8
2020/02/05/11,北碚,0.64
2020/02/05/11,重庆,8.32
2020/02/05/11,寸滩,168.47
2020/02/05/11,涪陵(清溪场),168.33
2020/02/05/11,万州,168.5
2020/02/05/11,茅坪,168.26
2020/02/05/11,宜昌,0.31
2020/02/05/11,枝江,-0.39
2020/02/05/11,沙市,-2.2
